Item	Item_description	Item_price	Item_count	Vendor	Vendor_address
Cape Capensis - Fillet	Destruction of Right Upper Leg Tendon, Perc Endo Approach	45.57	32	Flashset	79313 Farragut Avenue
Swordfish Loin Portions	Bypass L Subclav Art to L Pulm Art w Autol Vn, Open	76.26	6	Skyba	894 Talmadge Parkway
Oil - Peanut	Bypass L Com Iliac Art to B Ext Ilia w Synth Sub, Open	75.19	3	Dazzlesphere	6 Columbus Lane
Beef - Ox Tongue	Transfer Optic Nerve to Glossophar Nrv, Perc Endo Approach	58.84	22	Centizu	1 Moland Drive
Cocoa Powder - Dutched	Reposition R Sternoclav Jt with Int Fix, Perc Approach	25.42	19	Voonix	59 Ryan Point
The Pop Shoppe - Black Cherry	CT Scan of L Pelvic Vein using H Osm Contrast	78.44	26	Yakijo	48 Clemons Point
Dried Peach	Fluoroscopy of Bilateral Kidneys using Other Contrast	97.0	9	Dazzlesphere	98437 Mayer Pass
Vinegar - Champagne	Revision of Autol Sub in R Extraoc Muscle, Perc Approach	35.32	42	Realcube	20523 Orin Center
Ecolab - Ster Bac	Reposition Abdominal Aorta, Open Approach	45.76	25	Linktype	687 Longview Drive
Trout Rainbow Whole	Bypass 1 Cor Art from Cor Art w Autol Vn, Perc Endo	34.87	12	Jabberbean	9277 Schurz Alley
Spring Roll Veg Mini	Destruction of Endometrium, Open Approach	93.72	28	Gigashots	30438 Sunbrook Court
Scallops - In Shell	Aphasia Assessment using Other Equipment	21.79	10	Oodoo	75043 Shopko Street
Coconut - Shredded, Sweet	Destruction of Right Epididymis, Perc Endo Approach	84.19	38	Devshare	3 Jana Point
Veal - Leg, Provimi - 50 Lb Max	Occlusion of L Vas Deferens with Intralum Dev, Perc Approach	85.71	12	Vidoo	58873 Anhalt Hill
Egg Patty Fried	Excision of Pons, Percutaneous Endoscopic Approach	53.4	30	Skinte	2 Raven Court
Melon - Honey Dew	Drainage of Right Tarsal Joint, Perc Endo Approach, Diagn	44.8	40	Aimbu	72 Fairfield Circle
Chinese Foods - Pepper Beef	Insert of Monitor Dev into Spinal Canal, Perc Endo Approach	57.32	29	Yodel	417 Hudson Road
Snapple Lemon Tea	Bypass Jejunum to Desc Colon with Synth Sub, Open Approach	41.39	50	Wikizz	5 Starling Drive
Pork - Loin, Boneless	Revision of Autol Sub in R Sternoclav Jt, Extern Approach	80.62	21	InnoZ	028 Vidon Place
Broom - Angled	Destruction of Left Pulmonary Vein, Perc Endo Approach	22.08	36	Ntags	52 Moose Crossing
Transfer Sheets	Extraction of Left Auditory Ossicle, Open Approach	87.18	19	Trupe	27 Vahlen Trail
Ham - Smoked, Bone - In	Excision of Left Foot, Open Approach	20.55	20	Ailane	9023 Fallview Street
Pork - Hock And Feet Attached	Inspection of Left Wrist Joint, External Approach	82.38	33	Einti	34608 Amoth Hill
Wine - Saint Emilion Calvet	Packing of Mouth and Pharynx using Packing Material	93.04	1	Twitterbridge	76687 Sycamore Trail
Butter Ripple - Phillips	Occlusion of Bladder Neck with Intralum Dev, Open Approach	65.25	22	Cogibox	4979 Meadow Valley Place
Onions - Pearl	Replacement of R Low Eyelid with Synth Sub, Perc Approach	49.52	34	Talane	603 Anthes Place
Olives - Nicoise	Bypass Right Vas Deferens to L Vas Def, Perc Endo Approach	45.54	13	Blogtag	6 Tennessee Circle
Sage - Ground	Extraction of Hypoglossal Nerve, Perc Endo Approach	77.88	26	Skimia	9 Hovde Place
Sauce - Hollandaise	Reposition L Thorax Bursa/Lig, Perc Endo Approach	25.71	1	Vidoo	57536 Eggendart Parkway
Carbonated Water - Peach	Insertion of Radioact Elem into Bi Breast, Perc Approach	25.35	15	Viva	01865 Carberry Court
Beans - Fava, Canned	CT Scan of Paranasal Sinus using H Osm Contrast	70.84	27	Quimba	91 Tony Place
Clam - Cherrystone	Insert Infusion Pump in L Low Arm Subcu/Fascia, Perc	84.93	24	Dabfeed	67 Transport Terrace
Wine - Shiraz Wolf Blass Premium	Repair Left Neck Muscle, Percutaneous Approach	2.03	4	Kanoodle	5 Corscot Park
Garbage Bags - Clear	Monitoring of Intracranial Temperature, Via Opening	27.86	43	Shufflester	9 Amoth Crossing
Greens Mustard	Reposition R Humeral Shaft with Int Fix, Perc Endo Approach	57.04	29	Jabberbean	98 Morning Parkway
Pernod	Supplement R Ext Jugular Vein with Autol Sub, Open Approach	61.07	50	Digitube	151 School Crossing
Chocolate - Liqueur Cups With Foil	Occlusion of Left Upper Extremity Lymphatic, Open Approach	42.04	50	Babblestorm	601 Blue Bill Park Circle
Squash - Pattypan, Yellow	Transplantation of Nervous System into POC, Perc Approach	34.01	8	Mybuzz	114 Haas Circle
Sausage - Breakfast	Bypass R Ureter to Colocutan w Nonaut Sub, Perc Endo	5.8	12	Mudo	7777 Sachtjen Terrace
Wine - Lamancha Do Crianza	Revision of Autol Sub in Sternum, Perc Approach	1.55	5	Jaxworks	55 Algoma Street
Puff Pastry - Slab	Revision of Infusion Dev in Tracheobronc Tree, Via Opening	40.88	32	Feedmix	4615 Corben Avenue
Turnip - Mini	Bypass Lower Esophagus to Ileum with Autol Sub, Endo	10.35	23	Abatz	37976 Namekagon Park
Rum - Spiced, Captain Morgan	Destruction of Right Ankle Bursa and Ligament, Open Approach	70.62	17	Abatz	3024 Emmet Alley
Flour - Strong Pizza	Alteration of Left Axilla with Synth Sub, Perc Approach	32.63	27	Flashdog	234 Gateway Point
Island Oasis - Wildberry	Excision of Left Maxillary Sinus, Perc Endo Approach, Diagn	27.18	8	Dynazzy	8575 Grim Trail
Cheese - Mozzarella, Buffalo	Lymphatic and Hemic Systems, Extraction	10.58	46	Zoomdog	47592 Fieldstone Pass
Sprouts - Corn	Dilation of Left Ureter, Percutaneous Endoscopic Approach	61.07	42	Gevee	09008 Troy Center
Towel - Roll White	Lower Joints, Revision	51.86	26	Zava	9717 Green Ridge Crossing
Wine - Red, Colio Cabernet	Release Left Upper Leg Tendon, External Approach	13.13	4	Dynazzy	294 Rieder Center
Mortadella	Fusion 2-6 C Jt w Synth Sub, Post Appr P Col, Perc	40.95	36	Plambee	9425 Atwood Street
Potato - Sweet	Drainage of Left Diaphragm, Perc Endo Approach, Diagn	17.46	2	Brightbean	48 Pierstorff Place
Pepper - Scotch Bonnet	Repair Left Tarsal Joint, External Approach	18.72	46	Topicware	5177 Clarendon Center
Wine - Remy Pannier Rose	Extirpation of Matter from L Maxillary Sinus, Open Approach	78.74	36	Skiba	69 Norway Maple Pass
Cheese Cheddar Processed	Excision of Vagus Nerve, Perc Endo Approach, Diagn	92.04	24	Livefish	473 Warrior Avenue
Wine - Red, Metus Rose	Excision of Right Rib, Percutaneous Approach, Diagnostic	84.78	8	Mydo	8 Westend Pass
Soup - Canadian Pea, Dry Mix	LDR Brachytherapy of Ileum using Palladium 103	42.8	10	Brainbox	715 Valley Edge Center
